site	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	depth	p	k	depth.p	depth.k	p.k	depth.p.k
1	4	0	0	36	28	24	99	68	3.9	0.5	1	1.95	3.9	0.5	1.95
2	92	84	0	8	0	0	84	4	4.5	1.6	1.9	7.2	8.55	3.04	13.68
3	9	0	0	52	4	40	96	68	3.3	0.9	1.1	2.97	3.63	0.99	3.267
4	52	0	0	52	12	28	96	24	4.5	1.2	3	5.4	13.5	3.6	16.2
5	99	0	36	88	52	8	72	0	6.4	0.9	0.6	5.76	3.84	0.54	3.456
6	12	0	0	20	40	40	88	68	3.4	0.7	0.9	2.38	3.06	0.63	2.142
7	72	0	20	72	24	20	72	8	8.3	0.6	1.3	4.98	10.79	0.78	6.474
8	80	0	0	48	16	28	92	8	5.2	0.7	1.5	3.64	7.8	1.05	5.46
9	80	76	4	8	12	0	84	0	6.4	1.6	2.1	10.24	13.44	3.36	21.504
10	92	0	40	72	36	12	84	0	6.4	0.9	1.3	5.76	8.32	1.17	7.488
11	28	4	0	16	56	28	96	56	4.4	0.9	1.3	3.96	5.72	1.17	5.148
12	8	0	0	36	68	8	99	28	3.9	0.7	1.1	2.73	4.29	0.77	3.003
13	99	12	4	84	36	12	88	8	7.2	0.8	0.7	5.76	5.04	0.56	4.032
14	40	0	0	68	12	8	88	24	3.2	0.9	1.6	2.88	5.12	1.44	4.608
15	28	0	0	36	64	28	99	56	4.9	0.3	0.9	1.47	4.41	0.27	1.323
16	28	0	0	28	44	20	88	32	4.2	0.6	1.6	2.52	6.72	0.96	4.032
17	80	0	0	52	20	32	96	20	5	0.9	1.3	4.5	6.5	1.17	5.85
18	84	0	0	76	44	16	96	0	5.4	1.5	2.7	8.1	14.58	4.05	21.87
19	88	40	12	8	24	8	92	0	6.9	1.2	1.2	8.28	8.28	1.44	9.936
20	99	0	60	88	28	0	80	0	5.7	1.2	1.3	6.84	7.41	1.56	8.892
21	12	0	0	36	16	12	88	76	5.1	0.4	0.9	2.04	4.59	0.36	1.836
22	0	0	0	20	8	0	99	60	3.7	0.7	1.5	2.59	5.55	1.05	3.885
23	88	0	12	72	32	16	88	0	7.5	1	1.8	7.5	13.5	1.8	13.5
24	56	0	4	32	56	4	96	16	4.9	0.6	1	2.94	4.9	0.6	2.94
25	99	0	40	60	20	4	56	4	5.5	0.9	1.2	4.95	6.6	1.08	5.94
26	12	0	0	28	4	4	99	72	4.2	0.7	1.3	2.94	5.46	0.91	3.822
27	28	0	0	48	64	4	99	28	3.3	0.5	1.3	1.65	4.29	0.65	2.145
28	92	52	0	40	64	8	96	4	5.1	1.4	1.6	7.14	8.16	2.24	11.424
29	80	0	0	68	40	12	80	8	6.6	0.7	1	4.62	6.6	0.7	4.62
30	32	0	0	56	28	36	84	24	6.4	0.7	1.2	4.48	7.68	0.84	5.376
31	40	0	0	60	8	36	96	56	4.6	0.8	1.4	3.68	6.44	1.12	5.152
32	44	0	0	44	8	20	96	24	4.3	0.8	1.2	3.44	5.16	0.96	4.128
33	48	0	0	72	20	12	99	32	4.2	1	1.3	4.2	5.46	1.3	5.46
34	48	0	0	8	44	8	92	56	4.3	1	1.3	4.3	5.59	1.3	5.59
35	99	36	20	56	8	4	24	0	7.2	0.8	0.9	5.76	6.48	0.72	5.184
36	15	0	4	36	4	28	99	44	4	0.9	1.5	3.6	6	1.35	5.4
37	8	0	0	20	16	12	99	56	3.9	0.5	1.2	1.95	4.68	0.6	2.34
38	28	0	0	24	16	12	99	36	3.3	0.7	1.8	2.31	5.94	1.26	4.158
39	52	0	0	48	12	28	99	32	3.8	1	1.5	3.8	5.7	1.5	5.7
40	92	0	4	56	12	16	70	4	8.1	0.7	1.3	5.67	10.53	0.91	7.371
41	92	0	8	52	56	8	99	4	5	1.6	1.5	8	7.5	2.4	12
42	4	0	0	44	24	4	99	60	3.4	0.5	1.3	1.7	4.42	0.65	2.21
43	16	0	0	36	0	24	99	76	3.9	0.4	1.3	1.56	5.07	0.52	2.028
44	76	0	0	48	12	36	96	32	6.2	0.7	1	4.34	6.2	0.7	4.34
45	96	36	4	28	28	8	88	4	5.3	1.2	1.8	6.36	9.54	2.16	11.448
